English Language Name	Alternate Language Name	iso	rod	var	URL	Country(ies)	NT PDF count	NT Audio count	NT Partial PDF count	NT Partial Audio count	NT PDF Whole count	NT Audio Whole count	OT PDF count	OT Audio count	OT Partial PDF count	OT Partial Audio count	OT PDF Whole count	OT Audio Whole count	Bible PDF count	Bible Audio count	Scripture App Builder HTML (SE)	Online Viewer (SE)	Google Play (Android app) (SE)	Android App (SE version)	Buy	BibleIs	YouVersion	GRN	eBible	GoBible (SE)	MySword (Android) (SE)	Playlist Audio (SE)	Jesus Film	Luke Vidoe	John Video	Acts Video	Genesis Video	God's Story Video	The Good Samaritan Video	Magdalena Video	John Animation Video (SE)	Scripture Animation Video (SE)	The Last Day Video	Story of Jesus for Children Video	History	5fish	iTunes	One Story	Bibles for India	Bibles for Russia	Maps
Tiv		tiv			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=tiv	Cameroon, Nigeria																				1	1	1					1																		
Tiwa, Northern	Picuris, Taos	twf			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=twf	United States																											1																		1
Tiwa, Southern	Isleta, Sandia, Isleta Pueblo	tix			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=tix	United States																				1		1																							1
Tiya	Bijim, Legeri, Vaghat, Ya, Boi, Kadun, Kwanka, Tivaghat, Tiya, Tiyaa, Vwhat	bij			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=bij	Nigeria																						1					1																		1
Toaripi	Kaipi, Sepoe, Toaripi, Melaripi, Moripi-Iokea, Moveave, East Elema, Motumotu	tqo			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=tqo	Papua New Guinea																				1		1																							1
Toba	Toba Qom, Chaco Sur, Namqom, Qoml'ek, Toba Sur, Northern Toba, Southeast Toba, Toba Sur, Toba-Pilagá, Toba Sombrero negro, Toba del Oeste, Chaco Sur, Namqom, Qom, Qoml'ek, Emok-Lik, Qom-Lik, Takshika, Toba-Qom	tob			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=tob	Argentina, Bolivia, Paraguay																				1	4	1						1																	1
Toba-Maskoy	Cabanatit, Enenxet, Machicui, Quilyilhrayrom, Toba of Paraguay, Toba-Enenlhet	tmf			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=tmf	Paraguay																						1					1																		1
Tobanga	Mande, Tobanga, Deressia, Gabri, Gabri-Nord, Gabri-North, Northern Gabri	tng			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=tng	Chad																				1		1																							1
Tobelo	Boëng, Dodinga, Heleworuru	tlb			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=tlb	Indonesia																				1	1	1					1																		1
Tohono Oꞌodham	Pima, Papago, Nebome, Nevome, Pápago-Pima, Tohono O, O, Oʼodham ñiok, Pápago, Akimel O, Papago-Pima, Upper Piman	ood	237		https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=ood&rod=237	Mexico, United States	27				1		3		3						1	1	1	3	1	1	1	1	1	1	1											2									1
